review_text,image_path,tech_empowerment,visitor_experience,cultural_value,economic_social_gain,interaction_count,stay_duration,target_score
数字导览讲解清晰，文化故事更容易理解，沉浸感很强。,C:\Users\lenovo\Desktop\AICT\examples\demo_images\scene_000.png,75.77,62.51,77.45,92.46,27,49.15,75.3
导览响应慢，推荐内容重复，影响游览节奏。,C:\Users\lenovo\Desktop\AICT\examples\demo_images\scene_001.png,72.71,56.13,39.84,43.42,25,32.45,53.41
设备识别偶尔出错，沉浸感不足，停留意愿较低。,C:\Users\lenovo\Desktop\AICT\examples\demo_images\scene_002.png,70.9,56.62,63.05,23.73,26,41.69,50.24
交互功能不稳定，游客体验一般，文化信息传达不够充分。,C:\Users\lenovo\Desktop\AICT\examples\demo_images\scene_003.png,70.66,62.89,62.02,46.64,25,42.81,61.77
交互功能不稳定，游客体验一般，文化信息传达不够充分。,C:\Users\lenovo\Desktop\AICT\examples\demo_images\scene_004.png,60.8,55.72,71.83,80.95,26,45.42,67.42
交互功能不稳定，游客体验一般，文化信息传达不够充分。,C:\Users\lenovo\Desktop\AICT\examples\demo_images\scene_005.png,77.87,45.96,69.8,37.58,22,40.53,59.56
导览响应慢，推荐内容重复，影响游览节奏。,C:\Users\lenovo\Desktop\AICT\examples\demo_images\scene_006.png,65.88,66.2,63.08,86.02,29,42.87,71.31
导览响应慢，推荐内容重复，影响游览节奏。,C:\Users\lenovo\Desktop\AICT\examples\demo_images\scene_007.png,50.26,59.58,68.27,47.6,27,48.89,55.9
智能服务形式大于内容，文化理解帮助有限。,C:\Users\lenovo\Desktop\AICT\examples\demo_images\scene_008.png,57.88,77.99,47.35,51.73,29,35.48,59.0
数字导览讲解清晰，文化故事更容易理解，沉浸感很强。,C:\Users\lenovo\Desktop\AICT\examples\demo_images\scene_009.png,78.73,80.98,78.73,77.1,30,48.56,78.39
导览响应慢，推荐内容重复，影响游览节奏。,C:\Users\lenovo\Desktop\AICT\examples\demo_images\scene_010.png,85.63,62.98,56.55,39.52,27,45.63,65.0
导览响应慢，推荐内容重复，影响游览节奏。,C:\Users\lenovo\Desktop\AICT\examples\demo_images\scene_011.png,56.79,84.25,39.33,77.68,34,33.7,61.65
